Berlese.funnel_upload,Canopy.fogging_upload,Malaise.trap_upload
217,459,62
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
1,2,1
2,2,1
2,2,1
2,3,1
2,3,1
2,3,1
2,3,1
2,3,2
2,3,2
2,3,2
2,3,2
2,3,2
2,3,2
2,4,2
2,4,2
2,4,2
2,4,2
2,4,2
2,4,2
2,4,2
3,4,2
3,4,2
3,4,2
3,4,2
3,4,2
3,4,3
3,5,3
3,5,3
3,5,3
3,5,3
3,5,3
4,6,3
4,6,3
4,6,3
4,6,3
4,6,3
4,7,3
4,7,3
5,7,4
5,7,4
5,7,4
5,7,4
6,7,4
6,7,4
6,8,4
6,8,5
6,8,5
6,9,5
6,9,5
6,9,6
6,10,6
7,10,7
7,10,9
7,10,9
7,11,9
8,11,9
8,11,10
8,11,10
8,11,12
8,11,13
8,11,14
9,12,14
9,12,14
9,12,15
10,12,15
11,12,16
11,13,18
11,13,19
11,13,19
12,14,20
12,14,29
13,15,
13,15,
14,16,
19,16,
19,16,
19,17,
20,19,
21,19,
23,19,
24,20,
31,20,
45,20,
49,21,
78,22,
,22,
,23,
,23,
,23,
,24,
,25,
,25,
,27,
,29,
,29,
,30,
,31,
,31,
,31,
,33,
,33,
,33,
,33,
,33,
,33,
,34,
,35,
,35,
,35,
,36,
,39,
,40,
,40,
,44,
,45,
,45,
,46,
,48,
,49,
,49,
,51,
,52,
,53,
,56,
,59,
,67,
,70,
,78,
,90,
,99,
,99,
,182,
,323,
